"FaciltyId","Year","Measure","Note"
"360003",2017,"I_001_01","5"
"360016",2016,"I_001_01","5"
"360026",2016,"I_001_01","5"
"360121",2016,"I_001_01","5"
"360121",2017,"I_001_01","5"
"360137",2016,"I_001_01","5"
"360137",2017,"I_001_01","5"
"360189",2016,"I_001_01","5"
"360189",2017,"I_001_01","5"
"363032",2016,"I_001_01","5"
"363032",2017,"I_001_01","5"
"363039",2017,"I_001_01","3"
"363040",2017,"I_001_01","3"
"363041",2017,"I_001_01","3"
"370016",2016,"I_001_01","5"
"370114",2017,"I_001_01","3"
"370149",2016,"I_001_01","5"
"370149",2017,"I_001_01","5"
"390080",2016,"I_001_01","5"
"390133",2016,"I_001_01","3"
"390258",2016,"I_001_01","5"
"390258",2017,"I_001_01","5"
"390288",2016,"I_001_01","5"
"400003",2016,"I_001_01","5"
"400003",2017,"I_001_01","5"
"403027",2017,"I_001_01","3"
"420004",2016,"I_001_01","5"
"420101",2016,"I_001_01","5"
"420101",2017,"I_001_01","5"
"430012",2016,"I_001_01","5"
"430012",2017,"I_001_01","5"
"430016",2017,"I_001_01","2"
"430027",2017,"I_001_01","2"
"430077",2017,"I_001_01","2"
"440009",2016,"I_001_01","5"
"440009",2017,"I_001_01","5"
"440063",2016,"I_001_01","5"
"440162",2016,"I_001_01","5"
"440162",2017,"I_001_01","5"
"440200",2016,"I_001_01","5"
"440200",2017,"I_001_01","5"
"450002",2016,"I_001_01","5"
"450002",2017,"I_001_01","5"
"450011",2017,"I_001_01","3"
"450015",2016,"I_001_01","2"
"450040",2016,"I_001_01","3"
"450040",2017,"I_001_01","5"
"450054",2016,"I_001_01","5"
"450079",2016,"I_001_01","2"
"450137",2017,"I_001_01","3"
"450165",2016,"I_001_01","5"
"450271",2016,"I_001_01","2"
"450289",2017,"I_001_01","1"
"450324",2016,"I_001_01","2"
"450462",2016,"I_001_01","2"
"450484",2016,"I_001_01","5"
"450563",2017,"I_001_01","3"
"450638",2017,"I_001_01","3"
"450647",2017,"I_001_01","5"
"450651",2016,"I_001_01","3"
"450669",2016,"I_001_01","2"
"450672",2017,"I_001_01","3"
"450733",2016,"I_001_01","5"
"450811",2016,"I_001_01","5"
"450862",2017,"I_001_01","3"
"460001",2017,"I_001_01","2"
"460004",2017,"I_001_01","2"
"460005",2016,"I_001_01","5"
"460005",2017,"I_001_01","5"
"460021",2017,"I_001_01","2"
"460047",2017,"I_001_01","2"
"490060",2016,"I_001_01","5"
"490060",2017,"I_001_01","5"
"500001",2016,"I_001_01","5"
"500001",2017,"I_001_01","5"
"500005",2016,"I_001_01","3"
"500005",2017,"I_001_01","5"
"500015",2016,"I_001_01","5"
"500015",2017,"I_001_01","5"
"500019",2016,"I_001_01","5"
"500019",2017,"I_001_01","5"
"500051",2016,"I_001_01","5"
"500051",2017,"I_001_01","5"
"520008",2016,"I_001_01","5"
"520009",2016,"I_001_01","5"
"520035",2016,"I_001_01","5"
"520051",2016,"I_001_01","5"
"520091",2016,"I_001_01","5"
"520098",2016,"I_001_01","3"
"520100",2016,"I_001_01","5"
"520140",2016,"I_001_01","5"
"673026",2016,"I_001_01","5"
"673026",2017,"I_001_01","5"
"673028",2016,"I_001_01","5"
"673028",2017,"I_001_01","5"
"673059",2016,"I_001_01","3"
"10100",2018,"I_001_02","5"
"10113",2018,"I_001_02","2"
"33040",2018,"I_001_02","3"
"40154",2018,"I_001_02","5"
"50016",2018,"I_001_02","5"
"50018",2018,"I_001_02","5"
"50158",2018,"I_001_02","3"
"50204",2018,"I_001_02","3"
